make,model,year,damage,severity,cost
Ford,Fusion,2015,bumper,minor,3403.0
Honda,Accord,2010,scratch,moderate,7836.0
Ford,Fusion,2008,broken_glass,moderate,10153.5
BMW,320i,2009,scratch,minor,4047.0
Ford,Focus,2006,broken_glass,severe,16846.0
Toyota,Corolla,2005,bumper,minor,6758.0
Toyota,Corolla,2017,dent,moderate,6160.5
Ford,Fusion,2022,scratch,minor,5141.0
BMW,320i,2018,dent,moderate,13003.5
BMW,320i,2016,broken_glass,severe,6240.0
BMW,X5,2007,broken_glass,severe,15338.0
Ford,Focus,2015,dent,minor,4913.0
Toyota,Corolla,2022,bumper,severe,12276.0
Toyota,Camry,2009,broken_glass,minor,7949.0
Toyota,Camry,2020,broken_glass,moderate,12895.5
Ford,Fusion,2017,scratch,severe,10404.0
Honda,Accord,2007,bumper,moderate,10221.0
Ford,Fusion,2007,scratch,minor,9165.0
Ford,Fusion,2018,broken_glass,minor,9109.0
BMW,X5,2018,dent,minor,9065.0
Honda,Accord,2011,scratch,moderate,12580.5
Toyota,Corolla,2008,scratch,severe,13494.0
BMW,X5,2014,broken_glass,moderate,11713.5
Honda,Civic,2005,dent,minor,6860.0
Ford,Focus,2021,scratch,moderate,7377.0
BMW,320i,2007,scratch,moderate,10146.0
Ford,Fusion,2013,scratch,severe,19660.0
Ford,Focus,2011,dent,severe,18184.0
BMW,X5,2021,dent,severe,17352.0
Honda,Civic,2011,scratch,severe,7830.0
Ford,Fusion,2005,broken_glass,severe,9858.0
Honda,Civic,2009,dent,minor,4299.0
BMW,320i,2015,dent,severe,9536.0
Honda,Accord,2018,scratch,severe,15176.0
Ford,Fusion,2014,bumper,severe,18584.0
Ford,Focus,2017,broken_glass,moderate,14496.0
Honda,Civic,2008,broken_glass,severe,12292.0
Ford,Fusion,2016,dent,moderate,8941.5
Ford,Focus,2017,scratch,minor,7157.0
Honda,Accord,2009,bumper,minor,4010.0
Honda,Civic,2015,scratch,minor,9354.0
Honda,Civic,2011,broken_glass,severe,9962.0
Honda,Civic,2011,broken_glass,severe,6434.0
Toyota,Corolla,2009,dent,minor,4619.0
Honda,Accord,2010,broken_glass,moderate,5242.5
Ford,Focus,2014,broken_glass,moderate,6849.0
BMW,X5,2019,broken_glass,severe,14996.0
Toyota,Camry,2011,scratch,moderate,13200.0
Honda,Accord,2010,dent,severe,13400.0
Honda,Accord,2017,dent,severe,14274.0
Toyota,Camry,2014,scratch,minor,9781.0
Ford,Focus,2013,dent,minor,7229.0
Honda,Civic,2010,bumper,minor,3033.0
BMW,X5,2016,bumper,moderate,14859.0
Honda,Civic,2006,dent,minor,4993.0
Ford,Focus,2005,scratch,moderate,10021.5
Ford,Fusion,2022,dent,moderate,4687.5
Toyota,Corolla,2021,bumper,minor,7282.0
Ford,Focus,2006,dent,moderate,4717.5
Honda,Civic,2012,dent,moderate,12868.5
Ford,Fusion,2005,broken_glass,moderate,12282.0
BMW,X5,2018,dent,moderate,7627.5
Toyota,Camry,2008,scratch,minor,5302.0
Toyota,Corolla,2012,dent,moderate,4816.5
Toyota,Corolla,2012,broken_glass,severe,9612.0
Honda,Civic,2021,broken_glass,severe,19656.0
Toyota,Camry,2005,dent,moderate,14617.5
Ford,Focus,2006,bumper,severe,12762.0
BMW,X5,2015,bumper,severe,15310.0
Honda,Civic,2017,dent,minor,7377.0
Ford,Fusion,2018,broken_glass,minor,3475.0
Toyota,Camry,2013,dent,moderate,6331.5
BMW,320i,2020,broken_glass,moderate,13410.0
Toyota,Camry,2014,bumper,moderate,9955.5
BMW,X5,2012,scratch,moderate,11473.5
Ford,Focus,2022,dent,moderate,14392.5
BMW,320i,2007,dent,moderate,9624.0
Toyota,Camry,2016,scratch,minor,4108.0
Ford,Focus,2021,broken_glass,severe,11530.0
Ford,Focus,2019,broken_glass,severe,13730.0
BMW,320i,2008,dent,moderate,7573.5
Honda,Civic,2019,broken_glass,minor,5241.0
Honda,Civic,2021,dent,moderate,12504.0
Ford,Focus,2011,broken_glass,moderate,6343.5
BMW,X5,2017,bumper,severe,8788.0
Honda,Civic,2015,scratch,severe,20000.0
Honda,Civic,2013,dent,moderate,8103.0
Honda,Civic,2015,scratch,minor,3974.0
Toyota,Corolla,2015,broken_glass,moderate,8352.0
Ford,Focus,2017,scratch,minor,7552.0
BMW,X5,2009,dent,severe,12610.0
BMW,320i,2006,broken_glass,severe,14050.0
Toyota,Camry,2007,dent,severe,8934.0
Ford,Fusion,2006,dent,severe,9746.0
Honda,Accord,2021,bumper,severe,10616.0
BMW,X5,2013,broken_glass,severe,11016.0
Toyota,Corolla,2019,scratch,severe,9692.0
BMW,320i,2010,dent,minor,7100.0
BMW,320i,2009,dent,minor,4239.0
Ford,Focus,2013,bumper,severe,11172.0
Toyota,Corolla,2008,scratch,severe,14514.0
BMW,320i,2006,scratch,moderate,8692.5
Honda,Accord,2020,dent,moderate,8773.5
Ford,Fusion,2021,dent,moderate,10234.5
Ford,Focus,2009,bumper,moderate,13698.0
BMW,X5,2009,bumper,minor,5492.0
Toyota,Corolla,2022,bumper,moderate,10305.0
BMW,X5,2021,dent,minor,9083.0
Toyota,Camry,2014,scratch,severe,14122.0
Honda,Accord,2013,dent,moderate,6103.5
Honda,Accord,2006,scratch,minor,3257.0
Toyota,Corolla,2021,broken_glass,severe,6810.0
Ford,Fusion,2013,bumper,severe,8222.0
BMW,320i,2007,bumper,severe,16812.0
Honda,Accord,2019,dent,moderate,4909.5
Ford,Fusion,2013,dent,severe,19220.0
Toyota,Corolla,2006,bumper,moderate,14149.5
Honda,Civic,2005,bumper,minor,8305.0
Ford,Focus,2020,broken_glass,moderate,5455.5
Honda,Accord,2017,broken_glass,severe,10124.0
Toyota,Camry,2019,dent,minor,8618.0
Toyota,Corolla,2022,broken_glass,moderate,5980.5
BMW,X5,2008,bumper,minor,7441.0
Honda,Civic,2012,dent,moderate,9310.5
Toyota,Corolla,2005,dent,severe,9992.0
Ford,Focus,2016,dent,minor,3915.0
Ford,Focus,2007,dent,moderate,7956.0
BMW,X5,2008,dent,severe,7698.0
Ford,Fusion,2010,bumper,minor,8791.0
BMW,X5,2013,scratch,minor,8146.0
Honda,Civic,2012,scratch,minor,9008.0
Ford,Fusion,2013,bumper,minor,4633.0
BMW,X5,2013,dent,minor,4594.0
BMW,X5,2017,broken_glass,moderate,11112.0
Honda,Civic,2020,bumper,severe,7062.0
Honda,Accord,2022,broken_glass,minor,3184.0
Toyota,Camry,2012,bumper,severe,10814.0
BMW,X5,2012,bumper,severe,9714.0
Toyota,Corolla,2008,dent,moderate,11179.5
Honda,Civic,2009,bumper,severe,17134.0
BMW,320i,2016,bumper,moderate,9754.5
Honda,Accord,2013,broken_glass,moderate,7350.0
BMW,320i,2007,bumper,minor,6291.0
Ford,Fusion,2012,bumper,moderate,14967.0
Ford,Focus,2022,scratch,minor,8936.0
Toyota,Camry,2017,scratch,minor,8113.0
Honda,Civic,2018,dent,minor,3871.0
BMW,320i,2007,dent,severe,7132.0
Toyota,Corolla,2017,bumper,severe,13558.0
Ford,Focus,2014,scratch,moderate,5632.5
Ford,Fusion,2013,broken_glass,severe,17856.0
Honda,Accord,2018,dent,severe,12728.0
BMW,X5,2006,scratch,moderate,5416.5
Toyota,Camry,2015,scratch,moderate,13917.0
Honda,Accord,2016,dent,severe,16654.0
Toyota,Camry,2005,bumper,moderate,14496.0
Toyota,Camry,2021,scratch,moderate,6213.0
Toyota,Corolla,2022,broken_glass,severe,15256.0
BMW,320i,2006,scratch,severe,14752.0
Ford,Fusion,2009,dent,severe,14768.0
Honda,Accord,2018,broken_glass,minor,5591.0
Ford,Focus,2010,dent,moderate,9723.0
Ford,Fusion,2006,broken_glass,moderate,14209.5
BMW,X5,2015,dent,severe,7244.0
Ford,Fusion,2010,scratch,moderate,10017.0
Honda,Accord,2021,scratch,severe,7074.0
BMW,320i,2005,scratch,minor,8060.0
BMW,320i,2013,broken_glass,minor,3005.0
Ford,Focus,2020,broken_glass,minor,5863.0
Honda,Civic,2019,scratch,moderate,8062.5
Toyota,Camry,2007,bumper,minor,7490.0
Ford,Fusion,2006,scratch,minor,5055.0
BMW,320i,2007,broken_glass,moderate,11520.0
Ford,Focus,2022,dent,moderate,8833.5
BMW,320i,2008,scratch,severe,18108.0
Ford,Fusion,2015,scratch,moderate,10689.0
Ford,Focus,2018,dent,moderate,14151.0
Ford,Focus,2016,bumper,moderate,9252.0
Toyota,Camry,2007,scratch,severe,9774.0
Honda,Civic,2006,scratch,moderate,5206.5
Toyota,Corolla,2018,dent,severe,17062.0
Toyota,Corolla,2020,dent,severe,18642.0
Ford,Fusion,2020,dent,severe,13184.0
Honda,Accord,2014,broken_glass,minor,5279.0
Ford,Fusion,2020,scratch,severe,8278.0
Ford,Fusion,2012,dent,severe,12480.0
BMW,320i,2010,scratch,minor,4885.0
Ford,Fusion,2016,broken_glass,moderate,11629.5
Toyota,Camry,2019,dent,minor,5405.0
Ford,Focus,2006,dent,moderate,7630.5
BMW,320i,2014,scratch,minor,4321.0
Toyota,Camry,2005,scratch,minor,6140.0
Toyota,Corolla,2007,broken_glass,minor,4401.0
Ford,Focus,2020,broken_glass,moderate,9774.0
Ford,Fusion,2017,scratch,moderate,13738.5
BMW,X5,2019,bumper,minor,3507.0
Toyota,Corolla,2005,bumper,minor,5704.0
BMW,X5,2018,bumper,minor,3583.0
Ford,Fusion,2006,broken_glass,severe,18360.0
Toyota,Corolla,2020,dent,minor,4670.0
Toyota,Camry,2018,scratch,moderate,11098.5
BMW,X5,2015,bumper,severe,9184.0
BMW,320i,2013,bumper,moderate,13825.5
Toyota,Corolla,2008,broken_glass,severe,7386.0
BMW,320i,2015,bumper,minor,6239.0
Ford,Fusion,2007,dent,minor,7418.0
Ford,Focus,2007,dent,moderate,14094.0
Ford,Fusion,2012,dent,severe,12520.0
Honda,Civic,2019,broken_glass,moderate,8082.0
Toyota,Corolla,2013,bumper,moderate,6333.0
Honda,Accord,2011,scratch,severe,14800.0
Honda,Civic,2022,dent,severe,10644.0
BMW,X5,2011,dent,severe,11934.0
BMW,X5,2010,dent,minor,3291.0
BMW,320i,2012,broken_glass,minor,5883.0
Ford,Focus,2021,bumper,severe,19668.0
BMW,X5,2018,broken_glass,minor,8717.0
Honda,Civic,2010,scratch,moderate,9454.5
Honda,Accord,2013,dent,minor,5033.0
Toyota,Camry,2013,broken_glass,severe,6814.0
Honda,Accord,2022,bumper,minor,4160.0
Honda,Civic,2013,scratch,minor,4081.0
BMW,320i,2011,scratch,minor,4693.0
Honda,Accord,2009,dent,moderate,9396.0
Ford,Focus,2010,broken_glass,severe,8860.0
BMW,320i,2022,bumper,severe,18516.0
Honda,Accord,2007,dent,moderate,12574.5
Ford,Fusion,2015,bumper,severe,19036.0
Honda,Civic,2013,bumper,moderate,5491.5
Ford,Fusion,2013,bumper,severe,18582.0
Honda,Civic,2015,dent,severe,13362.0
Toyota,Camry,2007,dent,severe,17004.0
Toyota,Camry,2009,dent,moderate,14070.0
Honda,Civic,2016,bumper,minor,4260.0
Honda,Accord,2016,bumper,minor,3694.0
BMW,X5,2005,dent,minor,5863.0
Ford,Fusion,2021,dent,moderate,4861.5
Honda,Civic,2015,broken_glass,minor,6108.0
Ford,Fusion,2009,broken_glass,minor,7853.0
Honda,Civic,2010,dent,minor,5774.0
BMW,X5,2007,dent,minor,3694.0
Ford,Fusion,2008,bumper,severe,10782.0
Toyota,Corolla,2011,broken_glass,severe,14022.0
BMW,320i,2020,broken_glass,moderate,9400.5
Toyota,Corolla,2005,dent,minor,5083.0
Ford,Focus,2020,bumper,moderate,11847.0
Honda,Accord,2014,scratch,severe,13202.0
Honda,Civic,2015,bumper,severe,6920.0
Ford,Focus,2018,broken_glass,severe,8498.0
BMW,X5,2008,dent,moderate,12825.0
Ford,Fusion,2005,broken_glass,minor,4514.0
Ford,Fusion,2011,broken_glass,minor,3404.0
Ford,Focus,2016,bumper,minor,4719.0
BMW,320i,2015,dent,severe,13222.0
Honda,Civic,2017,dent,severe,9400.0
BMW,320i,2008,dent,minor,7543.0
Ford,Focus,2014,scratch,moderate,8361.0
BMW,X5,2020,scratch,severe,18562.0
Ford,Focus,2022,dent,moderate,11287.5
Ford,Focus,2014,bumper,minor,5304.0
Ford,Focus,2006,broken_glass,severe,9220.0
Toyota,Camry,2010,scratch,severe,17748.0
Ford,Focus,2010,dent,minor,9821.0
Ford,Fusion,2022,broken_glass,severe,9950.0
Ford,Fusion,2016,dent,minor,8525.0
Honda,Civic,2009,dent,minor,4955.0
Honda,Civic,2006,bumper,minor,7740.0
Toyota,Corolla,2019,scratch,minor,9944.0
Ford,Fusion,2006,dent,moderate,12934.5
Ford,Focus,2016,broken_glass,severe,16020.0
Honda,Accord,2021,bumper,minor,6880.0
Ford,Fusion,2018,broken_glass,minor,8322.0
Toyota,Corolla,2010,broken_glass,severe,17610.0
Ford,Fusion,2018,scratch,moderate,6712.5
Ford,Focus,2016,scratch,minor,4634.0
Ford,Fusion,2017,scratch,severe,6838.0
Toyota,Corolla,2019,bumper,severe,14524.0
Toyota,Camry,2008,dent,moderate,7795.5
Honda,Accord,2015,bumper,moderate,14506.5
BMW,320i,2019,scratch,moderate,4605.0
Ford,Focus,2021,broken_glass,moderate,11136.0
Ford,Fusion,2018,broken_glass,moderate,12849.0
Honda,Civic,2015,scratch,severe,12346.0
BMW,X5,2014,broken_glass,minor,6171.0
Toyota,Camry,2018,dent,severe,8164.0
BMW,320i,2005,broken_glass,severe,12650.0
Honda,Accord,2006,scratch,moderate,14404.5
Toyota,Corolla,2005,bumper,severe,9546.0
BMW,320i,2011,bumper,minor,9303.0
BMW,320i,2021,scratch,minor,7725.0
Honda,Accord,2009,dent,minor,9520.0
BMW,X5,2011,scratch,minor,7922.0
Toyota,Camry,2014,scratch,severe,8744.0
Honda,Accord,2016,broken_glass,minor,9329.0
Toyota,Corolla,2022,scratch,minor,4545.0
BMW,X5,2022,dent,severe,11594.0
Toyota,Corolla,2021,bumper,minor,7996.0
Toyota,Corolla,2021,bumper,severe,15046.0
Toyota,Camry,2015,dent,minor,6807.0
Honda,Civic,2005,scratch,severe,14358.0
BMW,X5,2015,broken_glass,minor,9255.0
Ford,Focus,2015,bumper,severe,7938.0
Toyota,Corolla,2006,bumper,severe,18410.0
Toyota,Corolla,2005,scratch,moderate,11187.0
BMW,X5,2016,broken_glass,minor,7976.0
Toyota,Camry,2010,broken_glass,moderate,5781.0
BMW,320i,2014,scratch,minor,7969.0
Toyota,Corolla,2022,broken_glass,moderate,8226.0
Ford,Focus,2015,scratch,moderate,8022.0
Toyota,Corolla,2010,broken_glass,moderate,7078.5
BMW,320i,2010,bumper,moderate,4969.5
Toyota,Corolla,2006,dent,severe,9534.0
BMW,320i,2016,bumper,severe,9666.0
Honda,Civic,2009,scratch,severe,16582.0
Honda,Accord,2011,broken_glass,moderate,7596.0
Ford,Fusion,2020,dent,severe,13382.0
BMW,X5,2014,dent,moderate,12129.0
Honda,Civic,2009,dent,minor,4075.0
Toyota,Corolla,2020,broken_glass,minor,6588.0
BMW,X5,2014,broken_glass,severe,14072.0
BMW,X5,2016,broken_glass,minor,3063.0
Ford,Fusion,2005,dent,minor,7079.0
Ford,Fusion,2017,bumper,minor,9773.0
Honda,Accord,2008,dent,minor,6546.0
Honda,Civic,2013,scratch,moderate,12228.0
Honda,Accord,2014,dent,moderate,5862.0
Toyota,Corolla,2022,bumper,minor,4643.0
Honda,Accord,2007,scratch,moderate,13263.0
Ford,Focus,2017,dent,minor,9793.0
Honda,Accord,2019,bumper,moderate,12739.5
Ford,Focus,2022,dent,severe,12780.0
Ford,Focus,2006,dent,moderate,5779.5
Honda,Civic,2018,scratch,severe,19248.0
Honda,Accord,2018,broken_glass,minor,5954.0
BMW,X5,2022,broken_glass,moderate,11554.5
BMW,X5,2005,scratch,minor,5149.0
BMW,320i,2014,bumper,moderate,10398.0
Honda,Civic,2005,broken_glass,moderate,12283.5
Toyota,Camry,2008,dent,severe,13798.0
Honda,Civic,2006,broken_glass,severe,10284.0
Ford,Focus,2020,dent,moderate,6987.0
BMW,X5,2012,broken_glass,minor,3067.0
Honda,Civic,2019,bumper,moderate,10356.0
Honda,Accord,2014,broken_glass,moderate,7231.5
BMW,X5,2017,dent,minor,6884.0
Honda,Civic,2020,scratch,severe,19894.0
BMW,320i,2007,scratch,moderate,10263.0
Honda,Accord,2017,scratch,minor,9420.0
BMW,320i,2009,scratch,minor,6580.0
Honda,Accord,2013,broken_glass,severe,12364.0
Toyota,Corolla,2008,dent,minor,7005.0
Ford,Fusion,2012,scratch,moderate,12714.0
Toyota,Camry,2019,scratch,severe,15054.0
Honda,Civic,2015,bumper,minor,6825.0
BMW,320i,2021,broken_glass,moderate,12636.0
Honda,Accord,2005,broken_glass,moderate,7969.5
Ford,Fusion,2020,broken_glass,minor,3172.0
BMW,X5,2015,scratch,moderate,7783.5
BMW,320i,2015,broken_glass,minor,5570.0
Honda,Accord,2022,scratch,moderate,13995.0
Toyota,Corolla,2010,dent,severe,18302.0
Honda,Civic,2021,scratch,minor,4966.0
Ford,Fusion,2019,bumper,moderate,5044.5
BMW,X5,2022,scratch,minor,5370.0
Ford,Fusion,2019,broken_glass,moderate,14529.0
Toyota,Camry,2007,scratch,severe,11326.0
Ford,Fusion,2019,scratch,moderate,11332.5
Ford,Focus,2005,scratch,moderate,11523.0
Toyota,Corolla,2015,broken_glass,minor,4973.0
Toyota,Corolla,2021,bumper,moderate,5118.0
BMW,320i,2012,scratch,moderate,5712.0
Honda,Accord,2012,scratch,severe,7920.0
BMW,X5,2008,scratch,severe,7734.0
Ford,Fusion,2008,scratch,moderate,14506.5
Toyota,Camry,2022,scratch,minor,9972.0
Toyota,Corolla,2015,broken_glass,minor,7685.0
BMW,X5,2015,scratch,moderate,7588.5
BMW,320i,2009,bumper,severe,14156.0
Toyota,Corolla,2021,broken_glass,moderate,6414.0
Honda,Civic,2018,scratch,moderate,8697.0
BMW,320i,2012,dent,severe,11956.0
Ford,Fusion,2017,scratch,moderate,10714.5
Toyota,Corolla,2007,bumper,moderate,10339.5
Honda,Accord,2012,broken_glass,severe,10796.0
Ford,Focus,2007,scratch,minor,8522.0
Toyota,Corolla,2009,scratch,severe,14282.0
Toyota,Camry,2005,bumper,severe,6914.0
Ford,Fusion,2020,broken_glass,minor,9911.0
Ford,Focus,2007,scratch,severe,8842.0
Honda,Civic,2020,dent,minor,3750.0
Ford,Focus,2011,scratch,severe,12792.0
BMW,320i,2013,bumper,moderate,12117.0
Honda,Civic,2017,dent,moderate,8607.0
BMW,320i,2013,scratch,moderate,9085.5
Ford,Focus,2022,scratch,moderate,5085.0
Ford,Fusion,2008,bumper,minor,7970.0
Toyota,Corolla,2018,scratch,minor,9935.0
BMW,X5,2015,broken_glass,severe,19532.0
Toyota,Camry,2010,broken_glass,moderate,9898.5
Ford,Focus,2005,bumper,severe,11956.0
BMW,X5,2012,broken_glass,moderate,11803.5
BMW,320i,2013,dent,moderate,5877.0
BMW,X5,2011,dent,severe,12630.0
Toyota,Camry,2013,dent,severe,17570.0
BMW,X5,2018,broken_glass,severe,15718.0
BMW,X5,2013,bumper,moderate,9012.0
Ford,Focus,2014,dent,minor,5777.0
BMW,320i,2005,bumper,minor,7291.0
BMW,X5,2015,scratch,severe,8536.0
BMW,X5,2005,dent,severe,15552.0
BMW,320i,2009,broken_glass,severe,10676.0
BMW,320i,2006,broken_glass,moderate,10809.0
Honda,Accord,2012,bumper,severe,8692.0
BMW,X5,2021,broken_glass,moderate,9531.0
Toyota,Camry,2013,scratch,moderate,7680.0
Ford,Focus,2018,bumper,severe,18294.0
Honda,Accord,2015,bumper,severe,15204.0
